51.1304902 17.0780325 Toruńska 73, 51-414 Wrocław
51.678722 15.995682 KGHM, ul. Żukowicka 1 _, 67-200 Głogów
51.3357179 15.4332483 Kliczków 8, 59-724 Kliczków
50.576222 16.656083 Krótka 1, 57-215 Srebrna Góra
51.0522595 17.0142485 Kustronia 26, 52-007 Wrocław
51.38119 16.197039 Kwiatowa 11, 59-300 Lubin
51.64892758 16.06177717 Piłsudskiego 15, 67-200 Głogów
51.47487 15.40555 Handlowa 1, 67-100 Rudno
51.210431 15.237604 Godzieszów 37D, 59-730 Godzieszów
51.11897 16.990606 Legnicka 58, 54-204 Wrocław
51.04916 16.968464 Tyniecka 3, 55-040 Bielany Wrocławskie
50.8423656 16.4659476 Marii Skłodowskiej-Curie 7, 58-100 Świdnica
50.520424 16.492932 Mickiewicza 2a, 57-410 Ścinawka Średnia
51.1283859 17.04556185 Antoniego Słonimskiego 2, 50-304 Wrocław
51.241168 17.499627 S8, MOP Jonas Północ _, 56-400 Poniatowice
50.956016 17.076391 MOP Krajków Południe A4, 55-020 Krajków
51.305899 15.720984 Różyniec 83BA, 59-706 Różyniec
51.05563531 16.97743412 Karkonoska 81, 53-015 Wrocław
51.0325 17.151389 Jana Pawła II 12, 55-011 Siechnice
51.04572461 16.97111759 Wrocławska 1F, 55-040 Bielany Wrocławskie
51.252006 16.160587 Legnicka 1, 59-222 Rzeszotary
51.154695 17.128039 Wilanowska 2, 51-206 Wrocław
50.7588957 16.3267252 Noworudzka 4B, 58-308 Wałbrzych
51.09849 17.0247547 Powstańców Śląskich 7, 53-332 Wrocław
50.49372 16.4578 Noworudzka 9, 57-411 Wambierzyce
51.11025 17.038194 Świętego Wita 1, 50-141 Wrocław
51.117897 16.99569967 Legnicka 48, 54-202 Wrocław
50.82025 15.52175 Okrzei 17, 58-580 Szklarska Poręba
51.31702805 15.59669399 Kraśnik Dolny A4, 59-700 Kraśnik Dolny
51.30779648 15.57009888 Łąka 28A, 59-700 Łąka
51.22624969 17.20555687 Łosice 30, 55-095 Mirków
51.22455597 17.20025063 Łosice 30, 55-095 Mirków
51.0728035 16.21528816 MOP Jawor Wschód S3, 00-000 Jawor
51.07292175 16.21193123 MOP Jawor Zachód S3, 00-000 Jawor
51.43797302 16.89719391 Morzęcino S5, 55-140 MOP Morzęcino Zachód
51.25864029 17.04458237 Wisznia Mała S5, 55-114 MOP Wisznia Mała
51.12683487 17.0460186 Jedności Narodowej 156, 50-303 Wrocław
51.13043976 16.96651649 Szybowcowa 27, 54-130 Wrocław
51.08425903 17.0247345 Ślężna 129A, 53-301 Wrocław
51.11639023 17.0236454 Księcia Witolda 55, 50-203 Wrocław
51.09824753 16.99272919 Grabiszyńska 187, 53-234 Wrocław
51.15675354 15.02843285 Słowiańska 1, 59-903 Zgorzelec
50.34639962 16.88576488 Parkowa 25, 57-540 Lądek-Zdrój
51.112962 17.059357 plac Grunwaldzki 22, 50-363 Wrocław
51.552803 16.039895 Sucha Górna 3, 59-101 Sucha Górna
50.342822 16.884821 plac Marii Skłodowskiej-Curie 3, 57-540 Lądek-Zdrój
51.10685 17.0268846 plac Wolności 1, 50-071 Wrocław
50.148544 16.667061 plac Wolności 1, 57-530 Międzylesie
50.758722 15.847417 Podgórze 55, 58-530 Kowary
50.906246 15.731966 Podwale 25, 58-500 Jelenia Góra
51.215029 17.405759 Oliwkowa 1, 56-400 Oleśnica
51.135537 17.064301 Jana Długosza 60a, 51-162 Wrocław
51.061633 16.999312 Aleja Karkonoska 54, 53-015 Wrocław
51.061663 16.999298 Aleja Karkonoska 54, 53-015 Wrocław
51.04680266 16.97082803 Wrocławska 1, 55-040 Bielany Wrocławskie
51.381444 16.195556 Legnicka 69, 59-300 Lubin
51.138972 17.082444 Al. Brucknera 55, 51-411 Wrocław
51.13860769 17.08201049 Aleksandra Brucknera 55, 51-411 Wrocław
50.725799 16.34096 Poznańska 17, 58-330 Jedlina-Zdrój
50.4271087 16.538764 Szalejów Górny 146 -, 57-314 Szalejów Górny
51.41115467 16.18615473 Hutnicza 2, 59-300 Lubin
51.103534 17.031818 Świdnicka 40, 50-024 Wrocław
51.017401 16.754001 Popiełuszki 21, 55-080 Kąty Wrocławskie
51.04191544 16.94667363 Czekoladowa 5 Amazon, 55-040 Bielany Wrocławskie
51.1768941 15.03233247 Jedrzychowice 98B DK94, 59-900 Jędrzychowice
50.9083728 15.3285778 Sienkiewicza 21, 59-850 Świeradów-Zdrój
50.905801 15.735005 Mostowa 2, 58-500 Jelenia Góra
51.03619 15.41331 Przemysłowa 4, 59-620 Gryfów Śląski
50.784314 16.26062 Ludowa 1 D, 58-300 Wałbrzych
51.077971 17.069332 Gazowa 3, 50-513 Wrocław
51.16658 15.02593 Słowiańska 13a, 59-900 Zgorzelec
51.1301 16.5714 Długa -, 55-114 Szewce
51.55273311 16.87530497 Topolowa stacja paliw, 55-140 Korzeńsko
50.450059 16.640528 Objazdowa 26A, 57-300 Kłodzko
51.18563698 15.0511717 Jędrzychowice 114, 59-900 Zgorzelec
51.037316 16.593695 Granitowa 7, 55-311 Kostomłoty
50.443473 16.247297 Stanisława Moniuszki 2A, 57-350 Kudowa-Zdrój
51.077527 17.047105 Świeradowska 70, 50-559 Wrocław
51.4402932 16.0899071 Szklary Górne 29, 59-335 Lubin
50.919348 16.099257 Szpitalna 16, 59-420 Bolków
51.1011989 17.0410141 Tadeusza Kościuszki 82, 50-441 Wrocław
51.035222 16.991028 Templariuszy 1, 55-040 Ślęza
50.4093466 16.5149027 Tranzytowa 30, 57-320 Polanica-Zdrój
50.7753497 15.7451365 Konstytucji 3 Maja 77, 58-540 Karpacz
51.31013 17.063008 Plac Piłsudskiego 1, 55-100 Trzebnica
50.7722977 15.7375184 Turystyczna 1A, 58-540 Karpacz
50.85301241 16.48522547 Kazimierza Odnowiciela 1, 58-100 Świdnica
51.664722 16.089278 Starowałowa _, 67-210 Głogów
51.420069 16.184289 Marii Skłodowskiej - Curie 97D, 59-301 Lubin
50.750315 16.420551 Wodna 1, 58-321 Zagórze Śląskie
50.830861 15.513389 Wojska Polskiego 11, 58-580 Szklarska Poręba
50.8047168 16.2530632 Wojska Polskiego 21, 58-310 Szczawno-Zdrój
50.4137852 16.4467494 Wolności 2, 57-330 Szczytna
51.0972866 17.0340187 Sucha 1, 50-086 Wrocław
51.1113503 17.0024076 ul. Robotnicza 42a, 53-608 Wrocław
50.829801 16.304834 Wrocławska 189, 58-306 Wałbrzych
51.1184254 17.02076 Romana Dmowskiego 13, 50-203 Wrocław
50.2435113 16.6315104 Zdrojowa 22, 57-520 Długopole-Zdrój
51.1487008 15.0145505 Bohaterów II Armii Wojska Polskiego skrzyżowanie z S. Ba, 59-900 Zgorzelec
50.3390169 16.3832434 Zieleniec 72, 57-340 Duszniki-Zdrój
50.3370887 16.38587 Zieleniec 72, 57-340 Duszniki-Zdrój
50.4403092 16.8750577 Złota 9, 57-250 Złoty Stok
52.8692575 17.9478625 --- -, 88-190 Barcin-Wieś
53.1432581 18.1307625 prof.Sylwestra Kaliskiego 7, 85-796 Bydgoszcz
53.1244682 18.0093874 3 Maja 6, 85-016 Bydgoszcz
53.128786 17.993257 Adama Naruszewicza 108, 85-230 Bydgoszcz
53.1402969 17.5929241 aleja Mickiewicza 7, 89-100 Nakło nad Notecią
53.483533 18.747419 Chełmińska 4, 86-300 Grudziądz
53.146826 18.130654 Bydgoszcz 32, 85-950 Bydgoszcz
53.126378 18.082702 Fordońska 225, 85-739 Bydgoszcz
53.187466 19.037024 Lipnica 22, 87-207 Lipnica
53.13658 18.114005 Mariana Rejewskiego 3, 85-791 Bydgoszcz
53.114208 18.055876 AUDI/VW PLICHTA ul. Nowotoruńska 15, Bydgoszc _, 85-880 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
53.09641681 17.90392362 Szosa Szubińska 87b, 85-312 Białe Błota
53.097726 18.041416 Białogardzka 16, 85-808 Bydgoszcz
53.113667 17.9848762 Kossaka 17, 85-307 Bydgoszcz
53.1281435 18.0221935 Sportowa 13, 85-091 Bydgoszcz
53.1669743 18.1646662 Wyzwolenia 106, 85-790 Bydgoszcz
53.1144369 17.9689302 Żwirki i Wigury 11C, 85-310 Bydgoszcz
52.7961144 18.2662891 Świętego Ducha 42, 88-100 Inowrocław
53.5861032 17.87434081 Warszawska 19, 89-500 Tuchola
53.111919 17.991975 Bielicka 31, 85-135 Bydgoszcz
53.195588 17.968873 Biwakowa 30/3, 85-483 Bydgoszcz
53.447599 18.727233 Macieja Rataja 2, 86-300 Grudziądz
53.109414 17.996 Brzozowa 72, 85-154 Bydgoszcz
53.007917 18.597278 Bulwar Filadelfijski 11, 87-100 Toruń
53.124296 18.017516 Jagiellońska 39, 85-097 Bydgoszcz
53.594736 17.908132 Plaskosz 7D, 89-500 Tuchola
52.939945 19.25163 Chrostkowo 99 _, 87-602 Chrostkowo
53.6203658 18.2586444 Czerska 11, 86-150 Tleń
52.67342022 18.32394568 Zamkowa 3, 88-150 Kruszwica
53.135283 17.992965 Zygmunta Augusta 7 7, 85-082 Bydgoszcz
52.88388443 18.79073906 Warzelniana 1, 87-720 Ciechocinek
53.10309601 19.05308533 Sienkiewicza 4, 87-400 Golub-Dobrzyń
53.0443573 18.59881592 Adama Freytaga 5, 87-100 Toruń
53.05002975 18.58136749 Zbożowa 39A, 87-100 Toruń
53.01846313 18.59107971 Józefa Bema 31, 87-100 Toruń
53.01389313 18.58360863 Józefa Bema 124A, 87-100 Toruń
53.0182457 18.56846619 Jurija Gagarina 126, 87-100 Toruń
53.01540756 18.59805679 Czerwona Droga 2-6, 87-100 Toruń
53.01192856 18.60196495 Fosa Staromiejska 20, 87-100 Toruń
53.00920868 18.60128784 Mikołaja Kopernika 47, 87-100 Toruń
53.01115799 18.61519432 Poniatowskiego 13, 87-100 Toruń
53.02462387 18.6344986 Żółkiewskiego 1-5, 87-100 Toruń
53.02640533 18.66392136 Ignacego Łyskowskiego 11, 87-100 Toruń
53.01879883 18.67307472 Przy Skarpie 4A, 87-100 Toruń
53.02715683 18.69352722 Kosynierów Kościuszkowskich 7, 87-100 Toruń
53.05182648 18.70945168 Nad Strugą 132B, 87-100 Toruń
53.02807236 18.66721725 Władysława Dziewulskiego 1, 87-100 Toruń
53.01387787 18.61373329 Plac Św. Katarzyny 9, 87-100 Toruń
53.0372467 18.63937187 Polna 109, 87-100 Toruń
52.97573853 18.67732239 Zdrojowa 8-10, 87-100 Toruń
53.02433395 18.61818314 Jana Brejskiego 2-4, 87-100 Toruń
53.0008049 18.61306 Kujawska 7, 87-100 Toruń
53.01279068 18.61869812 Stanisława Skrzyńskiego 2, 87-100 Toruń
53.0335083 18.60364151 Kozacka 21, 87-100 Toruń
53.03184128 18.59560204 Jana Mohna 34, 87-100 Toruń
53.02251434 18.61207771 Grudziądzka 60, 87-100 Toruń
52.99562454 18.61743355 gen. Hallera 79, 87-100 Toruń
53.02719116 18.62676239 Dworcowa 8, 87-100 Toruń
53.02107239 18.61162758 Grudziądzka 53, 87-100 Toruń
53.01534653 18.61538506 Wały gen. Sikorskiego 35, 87-100 Toruń
53.01720428 18.6136055 Przy Kaszowniku 37A, 87-100 Toruń
53.01605225 18.5713501 Reja 25, 87-100 Toruń
53.0246315 18.65722275 Ludwika Rydygiera 9, 87-100 Toruń
53.03120041 18.67131424 Tymona Niesiołowskiego 21, 87-100 Toruń
53.02222443 18.67119408 Konstytucji 3 Maja 3C, 87-100 Toruń
53.0279274 18.68888092 Ludwika Kolonkowskiego 4, 87-100 Toruń
52.97636795 18.56338692 Szubińska 15, 87-100 Toruń
53.02739334 18.70195198 Olimpijska 22, 87-100 Toruń
53.0273819 18.67936325 Dziewulskiego 38, 87-100 Toruń
52.6555481 19.06636047 Plac Wolności 3/4, 87-800 Włocławek
52.66032028 19.07142067 Stary Rynek 11, 87-800 Włocławek
52.65409088 19.07001877 Miedziana 2/4, 87-800 Włocławek
52.65385818 19.06040955 Okrzei 66, 87-800 Włocławek
52.65901947 19.07778931 Bechiego 4, 87-800 Włocławek
52.66159821 19.06971931 Zamcza 16, 87-800 Włocławek
52.65583038 19.06015968 Ludwika Bauera 3, 87-800 Włocławek
52.66421127 19.06304359 Piwna 1A, 87-800 Włocławek
52.65922928 19.04598999 Wysoka 12, 87-800 Włocławek
52.66733551 19.03922081 Promienna 7, 87-800 Włocławek
52.68217087 19.01037979 Toruńska 148, 87-800 Włocławek
52.66437149 19.04361916 Budowlanych 8, 87-800 Włocławek
52.65393829 19.12387657 Płocka 145, 87-800 Włocławek
52.65370941 19.08703041 Celulozowa 27, 87-800 Włocławek
52.64332962 19.09000015 Ostrowska 8, 87-800 Włocławek
52.6426506 19.07663918 Al. Fryderyka Chopina 10, 87-800 Włocławek
52.64987946 19.04957962 Kolska 131, 87-800 Włocławek
52.64151001 19.03771973 Wodna 96A, 87-800 Włocławek
52.64830017 19.05699921 Żeromskiego 9-17, 87-800 Włocławek
52.67137909 19.07242966 Grodzka 2, 87-800 Włocławek
52.64445877 19.03492928 Cypriana Kamila Norwida 1, 87-800 Włocławek
52.63903046 19.04949951 Kaliska 89A, 87-800 Włocławek
52.63618851 19.04684067 Fredry 10, 87-800 Włocławek
52.65166855 19.05887985 Węglowa 10, 87-800 Włocławek
52.66889191 19.02984047 Promienna 4, 87-800 Włocławek
52.6599617 19.02865982 Wieniecka 49, 87-800 Włocławek
52.60654831 19.01880074 Kościelna 8, 87-800 Włocławek
52.61091995 19.0248394 Szkolna 14, 87-800 Włocławek
52.64531326 19.09295464 Żytnia 49, 87-800 Włocławek
53.144025 17.949301 Filtrowa 1/4, 85-467 Bydgoszcz
53.1244631 18.0180104 Jagiellońska 39-47, 85-097 Bydgoszcz
53.024944 18.637723 Stanisława Żółkiewskiego 15, 87-100 Toruń
53.12392283 18.06752249 Fordońska 141, 85-739 Bydgoszcz
52.783659 18.242694 Wojska Polskiego 16, 88-110 Inowrocław
53.119284 17.953491 Generała Antoniego Madalińskiego 267, 85-331 Bydgoszcz
53.486038 17.807919 Słoneczna 4, 89-520 Gostycyn
52.95195471 17.91951517 Plac 1000-lecia 1, 89-210 Łabiszyn
53.1207444 17.9925167 Grudziądzka 9/15, 85-130 Bydgoszcz
53.137493 17.955687 Grunwaldzka 205, 85-451 Bydgoszcz
53.48982451 18.75848937 Piłsudskiego 18, 86-300 Grudziądz
53.132153 18.120304 Skandynawska 1, 85-776 Bydgoszcz
53.48629062 18.7608955 Rapackiego 19, 86-300 Grudziądz
53.123267 18.010524 Jagiellońska 27, 85-097 Bydgoszcz
53.141932 18.151685 Fordońska 408 dz. nr 344, 85-752 Bydgoszcz
53.145354 18.157026 Jana Brzechwy 151, 85-752 Bydgoszcz
53.116345 17.972238 Kcyńska 199, 204, 85-312 Bydgoszcz
53.418416 18.474515 Morsk 26, 86-100 Morsk
52.644335 19.061205 Kruszyńska 13, 87-812 Włocławek
53.1387335 18.1077039 Mariana Rejewskiego 5B, 85-796 Bydgoszcz
53.4542653 17.6532604 Komierowo 1, 89-400 Sępólno Krajeńskie
53.126668 18.01114 Księdza Ryszarda Markwarta 4, 85-015 Bydgoszcz
53.36608 18.006606 Pomorska 73, 85-051 Bydgoszcz
53.3070229 17.9518863 Aleje Wolności 8B, 86-010 Koronowo
53.1403058 17.6030853 Księdza Piotra Skargi 13A, 89-100 Nakło Nad Notecią
53.138857 17.978191 Ludwikowo 11, 85-502 Bydgoszcz
53.104018 18.013217 al. Jana Pawła II 123, 85-140 Bydgoszcz
53.0390242 18.6860483 M.Skłodowskiej-Curie 105, 87-100 Toruń
53.111822 17.996929 Marii Konopnickiej 119/12, 85-124 Bydgoszcz
53.142714 18.03266 Modrzewiowa 2/1, 85-674 Bydgoszcz
53.1069461 18.0741989 Mokra 30, 85-834 Bydgoszcz
52.761561 18.855861 Przywieczerzyn, 87-732 Lubanie -, 87-732 Lubanie
52.761078 18.855861 Autostrada Bursztynowa -, 87-732 Lubanie
52.568107 19.013065 Autostrada Bursztynowa 1, 87-853 Ludwinowo
52.567386 19.01218 Autostrada Bursztynowa 2, 87-853 Ludwinowo
53.348035 18.709346 Działowo 27, 87-214 Płużnica
53.341232 18.70666 Działowo 27, 87-214 Płużnica
53.14893 17.49342 Stawowa 1, 89-110 Śmielin
53.261209 19.386365 Sądowa 16, 87-300 Brodnica
53.096352 17.890039 Sosnowa 9, 86-005 Białe Błota
52.986956 18.464571 Sosnowa 42, 87-165 Cierpice
53.52798 18.504089 Leśna 25, 86-131 Jeżewo
52.982191 18.822184 Zawały 101, 87-123 Dobrzejewice
52.889919 18.406878 Dworcowa 10, 88-140 Gniewkowo
53.148477 19.134237 Konstancjewo 3A, 87-400 Golub-Dobrzyń
52.692664 17.76991 Gołąbki 5, 88-420 Rogowo
53.57582 18.92515 Jamy 5, 86-318 Rogóźno
53.473147 17.443536 Lutówko 18, 89-400 Lutówko
52.591846 18.168991 Miradz 12, 88-320 Strzelno
53.596679 18.345974 Rynek 11, 86-150 Osie
53.327769 17.45312 Runowo Krajeńskie 55, 89-421 Runowo Krajeńskie
53.016728 19.631492 Leśna 5, 87-510 Skrwilno
53.016438 17.7525 Szubin Wieś 52, 89-200 Szubin
53.037168 18.616344 Polna 34/38, 87-100 Toruń
53.631885 18.153563 Trzebciny 30, 89-505 Małe Gacno
52.637054 19.036692 Ziębia 13, 87-800 Włocławek
53.669687 17.910195 Woziwoda 3, 89-504 Legbąd
53.472324 17.896936 Zamrzenica 1A, 89-510 Bysław
53.215875 18.058793 Parkowa 4A, 86-031 Osielsko
52.859722 17.713369 Mickiewicza 37, 88-400 Żnin
53.033347 18.709469 Sieradzka 14, 87-100 Toruń
53.14681055 18.01029899 Zaświat 7, 85-685 Bydgoszcz
53.12351728 18.01000984 Jagiellońska 21, 85-097 Bydgoszcz
52.65527725 18.9291935 KS. Romana Jałocho 40, 87-880 Brześc Kujawski (Machnacz)
52.67606354 18.19868088 Busewo 11, 88-320 Busewo
53.1443634 18.15529633 Fordońska 419, 85-790 Bydgoszcz
53.13726425 17.96184731 Grunwaldzka 142, 85-429 Bydgoszcz
52.90073395 18.72458076 MOP Otłoczyn A1, 87-700 Otłoczyn
53.41900635 18.47573853 Morsk 25, 86-100 Świecie
52.99237442 18.63389015 Łódzka 83/85, 87-100 Toruń
53.03652954 18.67436028 Marii Skłodowskiej-Curie 88, 87-100 Toruń
52.70039749 18.96360016 Toruńska 282, 87-805 Włocławek
53.6905886 18.1014843 Okoniny Nadjeziorne 65, 89-530 Śliwice
53.126118 18.053156 Marii Skłodowskiej-Curie 33, 85-733 Bydgoszcz
53.46906 18.7528 Konarskiego 43, 86-311 Grudziądz
53.169778 18.162462 Pelplińska 96, 85-794 Bydgoszcz
53.135755 18.126746 VW PLICHTA Fordońska 264 Bydgoszcz _, 85-790 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
53.033875 18.728638 SKODA PLICHTA Toruńska 85 Lubicz Dolny _, 87-162 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
53.024431 18.645387 VW PLICHTA Wschodnia 38 Toruń _, 87-100 Czynne: pn.- pt. 7.00 - 18.00, sob. 7.00-14.0
53.394944 18.300333 Poledno 2, 86-122 Poledno
53.13613473 18.12522507 Fordońska 339, 85-796 Bydgoszcz
53.02021886 18.64258977 Szosa Lubicka 19, 87-100 Toruń
53.160358 17.908213 Rekinowa 137, 85-436 Bydgoszcz
53.149938 18.025815 Rekreacyjna 1, 85-687 Bydgoszcz
52.870739 18.756298 Nowy Ciechocinek 9, 87-700 Nowy Ciechocinek
52.625375 18.969308 Pikutkowo 45, 87-880 Pikutkowo
52.689676 18.987797 Salon VW Wątarski, Toruńska 169 _, 87-800 Włocławek
53.171303 17.968575 Smukalska 1/16, 1/28, 85-555 Bydgoszcz
53.128593 18.022487 Sportowa 249, 85-091 Bydgoszcz
53.061554 18.061977 Grzybowa b/n dz. nr 9/125, 05-367 Bydgoszcz
53.034158 18.599526 Legionów 220, 87-100 Toruń
52.64242966 19.06961137 Komunalna 4, 87-810 Włocławek
52.93440085 19.26437277 JANISZEWO 54, 87-602 Chrostkowo
53.120839 17.966519 Stawowa 120, 85-323 Bydgoszcz
53.5806923 17.8754238 Świecka 89A, 89-500 Tuchola
53.10855 18.046452 Szarych Szeregów 98/6, 85-829 Bydgoszcz
53.115256 17.961971 Szubińska 23/72, 85-312 Bydgoszcz
53.276643 19.409378 VW i SKODA KAMIŃSKI, Olsztyńska 5, Brodnica _, 87-300 Czynne: pn.- pt. 8.00 - 18.00, sob. 8.00-14.0
53.129801 18.116452 Wiślana 9/13, 85-773 Bydgoszcz
53.152258 18.124189 Wojciecha Łochowskiego 23, 85-796 Bydgoszcz
52.8528528 19.180275 Wojska Polskiego 16, 87-600 Lipno
53.12645828 17.97949015 Wrocławska 3, 85-211 Bydgoszcz
53.116064 18.01079 Wojska Polskiego 1, 85-171 Bydgoszcz
53.15039153 18.13801522 Fieldorfa Nila 12A, 85-796 Bydgoszcz
53.134277 17.991671 Zygmunta Augusta 17/6, 18, 85-009 Bydgoszcz
51.237829 22.568727 Aleje Zygmuntowskie 4, 20-101 Lublin
51.7487531 22.2530406 SGO Polesie 4, 21-412 Adamów
51.3367 22.0049 Nałęczowska 56, 24-120 Bochotnica
50.796166 23.902842 Kolejowa 43, 22-500 Hrubieszów
50.7086929 22.4186729 Sienkiewicza 46, 23-300 Janów Lubelski
51.2262473 22.4792072 Gęsia 16, 20-719 Lublin
51.2326046 22.5984382 Pogodna 48, 20-337 Lublin
51.2083858 22.5709811 Zemobrzycka 78, 20-450 Lublin
51.9223577 22.3791095 Wrocławska 3A, 68-300 Lubsko
51.304924 22.892468 Szkolna 49, 21-010 Łęczna
52.07089818 23.60310799 Wojska Polskiego 81/83, 21-550 Terespol
51.2705675 22.4910916 Główna 3, 20-803 Lublin
51.602293 21.942824 Przemysłowa 12b, 08-500 Ryki
52.0501426 23.1132442 Jana III Sobieskiego 7, 21-500 Biała Podlaska
